                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3743,                 3.5758,                 2.0181,                0.00693,                 0.9072,                0.16971,                0.05537,                 1.9406,                 3.4894,                 1.4743,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.8275,                 2.4491,                 1.5391,                0.00735,                0.95184,                0.32712,                0.15906,                 1.7356,                 3.2283,                 1.5154,             0.00031046,             0.00031046,             0.00031046
                      3,                 1.7389,                 2.0033,                 1.5165,                0.00735,                0.91883,                  0.336,                 0.1517,                  1.638,                 3.3165,                 1.5133,             0.00046429,             0.00046429,             0.00046429
                      4,                 1.6926,                 1.9495,                 1.5763,                      1,                0.07094,                0.37292,                0.17368,                 1.5892,                 3.1715,                 1.5288,             0.00061151,             0.00061151,             0.00061151
                      5,                 1.6399,                 1.8293,                 1.4823,                0.92621,                0.13471,                0.39124,                0.18065,                 1.8475,                 3.1326,                 1.6495,             0.00075214,             0.00075214,             0.00075214
                      6,                 1.5606,                 1.6084,                 1.4378,                0.74586,                0.20637,                0.22952,                0.10909,                 1.8631,                 3.3343,                 1.8539,             0.00088616,             0.00088616,             0.00088616
                      7,                 1.5833,                 1.6037,                 1.4285,                0.68313,                0.23025,                0.36896,                0.18291,                 1.7011,                 3.0503,                 1.5915,              0.0010136,              0.0010136,              0.0010136
                      8,                 1.5272,                  1.552,                 1.3931,                0.40839,                0.42963,                0.40851,                 0.1836,                 1.8209,                 2.5342,                 1.6104,              0.0011344,              0.0011344,              0.0011344
                      9,                 1.5658,                 1.5403,                  1.431,                0.37103,                0.50966,                0.53218,                0.23271,                 1.8623,                 2.0322,                  1.662,              0.0012486,              0.0012486,              0.0012486
                     10,                 1.5431,                 1.4983,                 1.4277,                0.51137,                0.61695,                0.54864,                 0.2237,                 1.8227,                 1.9611,                 1.6248,              0.0013562,              0.0013562,              0.0013562
